StationID;Longitude(DD);Latitude(DD);Elevation(m);
0;122.549038;-5.263327;-0.000000;
1;122.549034;-5.263376;-0.680000;
2;122.549052;-5.263368;-0.440000;
3;122.549069;-5.263347;-0.690000;
4;122.549087;-5.263377;-0.450000;
5;122.549103;-5.263386;-0.280000;
6;122.549117;-5.263390;-0.320000;
7;122.549135;-5.263398;-1.120000;
8;122.549155;-5.263388;-1.000000;
9;122.549134;-5.263398;-1.090000;
10;122.549122;-5.263420;-1.220000;
11;122.549099;-5.263414;-0.420000;
12;122.549082;-5.263446;-1.250000;
13;122.549077;-5.263488;-0.970000;
14;122.549099;-5.263518;-1.270000;
15;122.549076;-5.263489;-0.990000;
16;122.549060;-5.263455;-1.040000;
17;122.549044;-5.263426;-0.840000;
18;122.549026;-5.263384;-0.660000;
19;122.549039;-5.263373;-0.680000;
20;122.549100;-5.263517;-1.330000;
21;122.549073;-5.263530;-0.810000;
22;122.549024;-5.263532;-1.740000;
23;122.549023;-5.263568;-1.970000;
24;122.549017;-5.263580;-1.660000;
25;122.549007;-5.263587;-1.380000;
26;122.548980;-5.263593;-1.440000;
27;122.548978;-5.263622;-0.620000;
28;122.548975;-5.263637;-1.300000;
29;122.548973;-5.263656;-1.840000;
30;122.548983;-5.263729;-1.560000;
31;122.548950;-5.263754;-2.190000;
32;122.548922;-5.263749;-1.180000;
33;122.548903;-5.263688;-1.430000;
34;122.548902;-5.263672;-1.600000;
35;122.548878;-5.263659;-1.810000;
36;122.548833;-5.263636;-2.060000;
37;122.548769;-5.263634;-1.670000;
38;122.548740;-5.263632;-1.900000;
39;122.548674;-5.263637;-1.530000;
40;122.548631;-5.263595;-1.270000;
41;122.548584;-5.263597;-1.550000;
42;122.548561;-5.263511;-1.050000;
43;122.548585;-5.263487;-0.900000;
44;122.548606;-5.263465;-0.730000;
45;122.548624;-5.263460;-0.860000;
46;122.548653;-5.263458;-1.110000;
47;122.548694;-5.263460;-1.110000;
48;122.548724;-5.263431;-0.970000;
49;122.548788;-5.263357;-0.570000;
50;122.548820;-5.263334;-0.260000;
51;122.548837;-5.263326;-0.460000;
52;122.548851;-5.263330;-0.050000;
53;122.548864;-5.263350;-0.110000;
54;122.548883;-5.263354;-0.540000;
55;122.548878;-5.263382;-0.930000;
56;122.548859;-5.263395;-0.730000;
58;122.549156;-5.263386;-1.030000;
59;122.549210;-5.263381;-1.170000;
60;122.549212;-5.263361;-1.010000;
61;122.549211;-5.263351;-0.850000;
62;122.549185;-5.263298;-0.710000;
63;122.549188;-5.263250;-1.300000;
64;122.549224;-5.263237;-1.790000;
